District Name,District Code,Block Name,Block Code,Cluster Code,School Name,UDISE Code,School Management,School Category,PP3(Boys),PP3(Girls),PP3(Trans),PP3(Total),PP2(Boys),PP2(Girls),PP2(Trans),PP2(Total),PP1(Boys),PP1(Girls),PP1(Trans),PP1(Total),Class 1(Boys),Class 1(Girls),Class 1(Trans),Class 1(Total),Class 2(Boys),Class 2(Girls),Class 2(Trans),Class 2(Total),Class 3(Boys),Class 3(Girls),Class 3(Trans),Class 3(Total),Class 4(Boys),Class 4(Girls),Class 4(Trans),Class 4(Total),Class 5(Boys),Class 5(Girls),Class 5(Trans),Class 5(Total),Class 6(Boys),Class 6(Girls),Class 6(Trans),Class 6(Total),Class 7(Boys),Class 7(Girls),Class 7(Trans),Class 7(Total),Class 8(Boys),Class 8(Girls),Class 8(Trans),Class 8(Total),Class 9(Boys),Class 9(Girls),Class 9(Trans),Class 9(Total),Class 10(Boys),Class 10(Girls),Class 10(Trans),Class 10(Total),Class 11(Boys),Class 11(Girls),Class 11(Trans),Class 11(Total),Class 12(Boys),Class 12(Girls),Class 12(Trans),Class 12(Total),Total Boys,Total Girls,Total Trans,Grand Total
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920835,KHOSNAGAR F.P. SCHOOL,19260206301,1,1,0,0,0,0,0,0,0,0,12,13,0,25,17,15,0,32,16,13,0,29,14,11,0,25,15,17,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,69,0,143
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920830,LAKHANDHAWRA SSK,19260200701,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,1,0,4,6,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,14
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920860,LALGANJ F.P. SCHOOL,19260208201,1,1,0,0,0,0,0,0,0,0,11,11,0,22,10,15,0,25,18,7,0,25,19,9,0,28,13,10,0,23,17,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,54,0,142
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920830,MADAN MOHANPUR F.P. SCHOOL,19260200803,1,1,0,0,0,0,0,0,0,0,3,10,0,13,5,3,0,8,3,4,0,7,6,4,0,10,8,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,0,51
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920835,MADANPUR F.P. SCHOOL,19260206101,1,1,0,0,0,0,0,0,0,0,27,26,0,53,31,42,0,73,12,32,0,44,23,24,0,47,30,34,0,64,41,27,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,185,0,349
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920835,MADANPUR HIGH SCHOOL,19260206202,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,28,0,67,48,41,0,89,51,29,0,80,103,40,0,143,69,72,0,141,0,0,0,0,0,0,0,0,310,210,0,520
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920860,MAHADEV HANSDA SSK,19260208902,12,1,0,0,0,0,0,0,0,0,2,0,0,2,3,5,0,8,5,3,0,8,7,3,0,10,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0,32
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920830,MAJIARA F.P. SCHOOL,19260200805,1,1,0,0,0,0,0,0,0,0,17,11,0,28,16,16,0,32,11,13,0,24,10,14,0,24,8,15,0,23,14,8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,77,0,153
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920830,MAJIARAH HIGH SCHOOL,19260201202,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,9,3,0,12,9,4,0,13,17,10,0,27,32,12,0,44,34,19,0,53,0,0,0,0,0,0,0,0,108,48,0,156
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1922530,MEGHANDIH SSK,19260204904,12,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,9,8,0,17,7,7,0,14,3,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,0,48
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1922530,METELA KHAYERKANALI F.P. SCHOOL,19260204701,1,1,0,0,0,0,0,0,0,0,5,2,0,7,7,6,0,13,5,3,0,8,5,5,0,10,6,4,0,10,5,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,58
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1922530,MIRJAPUR HUCHUKPARA SSK,19260204905,12,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,9,4,4,0,8,1,6,0,7,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,28
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1922530,MONDIRA F.P. SCHOOL,19260205002,1,1,0,0,0,0,0,0,0,0,5,2,0,7,5,3,0,8,0,4,0,4,6,3,0,9,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,30
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920835,MONIDANGA SSK,19260207005,12,1,0,0,0,0,0,0,0,0,5,4,0,9,1,4,0,5,2,3,0,5,5,4,0,9,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0,31
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920860,MONOHAR BAHAL F.P. SCHOOL,19260208901,1,1,0,0,0,0,0,0,0,0,7,4,0,11,10,6,0,16,4,10,0,14,7,10,0,17,9,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,40,0,77
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920860,MRITUNJAY RAY SCHOOL,19260208903,5,6,0,0,0,0,0,0,0,0,50,29,0,79,15,15,0,30,9,9,0,18,11,9,0,20,6,3,0,9,10,5,0,15,12,3,0,15,10,6,0,16,10,5,0,15,6,3,0,9,7,7,0,14,0,0,0,0,0,0,0,0,146,94,0,240
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920835,NA PARA F.P. SCHOOL,19260207004,1,1,0,0,0,0,0,0,0,0,3,5,0,8,6,6,0,12,5,4,0,9,9,4,0,13,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,0,47
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920860,NAKTI KANYAPUR F.P. SCHOOL,19260208801,1,1,0,0,0,0,0,0,0,0,3,2,0,5,8,4,0,12,4,2,0,6,1,1,0,2,3,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,0,33
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1922531,NANDAI F.P. SCHOOL,19260207301,1,1,0,0,0,0,0,0,0,0,4,5,0,9,5,8,0,13,7,3,0,10,9,9,0,18,9,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,0,67
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920815,NARAYANPUR F.P. SCHOOL,19260202002,1,1,0,0,0,0,0,0,0,0,1,3,0,4,8,3,0,11,2,5,0,7,6,2,0,8,8,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,18,0,43
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920799,NEEM DHAWRAH SANTALPARA SSK,19260202606,12,1,0,0,0,0,0,0,0,0,1,1,0,2,0,4,0,4,2,2,0,4,2,3,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,18
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920860,NUNI F.P. SCHOOL,19260208601,1,1,0,0,0,0,0,0,0,0,11,7,0,18,11,11,0,22,14,7,0,21,9,14,0,23,7,11,0,18,11,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,57,0,120
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920860,NUNI UP SCHOOL,19260208602,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,13,10,0,23,16,18,0,34,11,14,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,43,0,85
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920835,NUTANDIHI F.P. SCHOOL,19260206701,1,1,0,0,0,0,0,0,0,0,4,3,0,7,8,3,0,11,9,2,0,11,8,7,0,15,4,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,58
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920799,P.M. KAMALA GIRLS' HIGH SCHOOL,19260202501,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,78,0,108,0,108,0,130,0,130,0,141,0,141,0,137,0,137,0,69,0,69,0,87,0,87,0,750,0,750
